user,service,value,startDate,id,type
jb1CjU1HF,milk_coffee,1.0,1559040825659,237,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1559042192898,238,INTERACTION
gKUuuzg9,milk_coffee,1.0,1559042205299,239,INTERACTION
CkfZksM2rBrL,cortado,1.0,1559043737224,240,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1559049000204,241,INTERACTION
d4guBrpB,cortado,1.0,1559050535589,242,INTERACTION
ymETMF4M4,capuccino,1.0,1559055263099,243,INTERACTION
5pVcV5V,chocolate,1.0,1559111189314,244,INTERACTION
gKUuuzg9,milk_coffee,1.0,1559111218239,245,INTERACTION
FmxgvxmU,milk_coffee,1.0,1559112777329,246,INTERACTION
ymETMF4M4,capuccino,1.0,1559116207862,247,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1559116646087,248,INTERACTION
93xlxT,chocolate,1.0,1559117176377,249,INTERACTION
M8TX69h8,milk_coffee,1.0,1559118037548,250,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1559118078291,251,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1559118090890,252,INTERACTION
OJwzAJ33l,long_coffee,1.0,1559118199931,253,INTERACTION
IQtg13hB,expresso,1.0,1559118208027,254,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1559119899842,255,INTERACTION
gKUuuzg9,milk_coffee,1.0,1559119924103,256,INTERACTION
uhDooz5uD,milk_coffee,1.0,1559121770666,257,INTERACTION
d4guBrpB,cortado,1.0,1559123416369,258,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1559123685562,259,INTERACTION
93xlxT,chocolate,1.0,1559123949207,260,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1559128303720,261,INTERACTION
gKUuuzg9,milk_coffee,1.0,1559128332584,262,INTERACTION
5pVcV5V,chocolate,1.0,1559128606378,263,INTERACTION
gKUuuzg9,milk_coffee,1.0,1559128640217,264,INTERACTION
CkfZksM2rBrL,cortado,1.0,1559130730786,265,INTERACTION
FmxgvxmU,cortado,1.0,1559131041823,266,INTERACTION
OJwzAJ33l,expresso,1.0,1559131262223,267,INTERACTION
jb1CjU1HF,milk_coffee,1.0,1559131476996,268,INTERACTION
uhDooz5uD,milk_coffee,1.0,1559133421740,269,INTERACTION
ymETMF4M4,capuccino,1.0,1559136263050,270,INTERACTION
d4guBrpB,cortado,1.0,1559139701748,271,INTERACTION
CCMAqXtVdM,cortado,1.0,1559197205737,272,INTERACTION
5pVcV5V,chocolate,1.0,1559198587799,273,INTERACTION
gKUuuzg9,milk_coffee,1.0,1559198621923,274,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1559199736707,275,INTERACTION
IQtg13hB,expresso,1.0,1559203331551,276,INTERACTION
