user,service,value,startDate,id,contextvalue,contextname,type
gKUuuzg9,milk_coffee,1.0,1558349764842,84,doctoral student,role,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558349764842,84,t1,shift,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558349764842,84,0,dayofweek,INTERACTION
qpzNDzybrsi,expresso,1.0,1558350013150,85,administrative,role,INTERACTION
qpzNDzybrsi,expresso,1.0,1558350013150,85,t1,shift,INTERACTION
qpzNDzybrsi,expresso,1.0,1558350013150,85,0,dayofweek,INTERACTION
2qDLEBNv,long_coffee,1.0,1558350057619,86,supervisor,role,INTERACTION
2qDLEBNv,long_coffee,1.0,1558350057619,86,t1,shift,INTERACTION
2qDLEBNv,long_coffee,1.0,1558350057619,86,0,dayofweek,INTERACTION
TRFKSXv,chocolate,1.0,1558350061984,87,associated teacher,role,INTERACTION
TRFKSXv,chocolate,1.0,1558350061984,87,t1,shift,INTERACTION
TRFKSXv,chocolate,1.0,1558350061984,87,0,dayofweek,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558350224298,88,doctoral student,role,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558350224298,88,t1,shift,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558350224298,88,0,dayofweek,INTERACTION
93xlxT,chocolate,1.0,1558350236906,89,doctoral student,role,INTERACTION
93xlxT,chocolate,1.0,1558350236906,89,t1,shift,INTERACTION
93xlxT,chocolate,1.0,1558350236906,89,0,dayofweek,INTERACTION
jb1CjU1HF,milk_coffee,1.0,1558351493322,90,supervisor,role,INTERACTION
jb1CjU1HF,milk_coffee,1.0,1558351493322,90,t1,shift,INTERACTION
jb1CjU1HF,milk_coffee,1.0,1558351493322,90,0,dayofweek,INTERACTION
M8TX69h8,milk_coffee,1.0,1558352256825,91,coordinator,role,INTERACTION
M8TX69h8,milk_coffee,1.0,1558352256825,91,t1,shift,INTERACTION
M8TX69h8,milk_coffee,1.0,1558352256825,91,0,dayofweek,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1558352282569,92,administrative,role,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1558352282569,92,t1,shift,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1558352282569,92,0,dayofweek,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1558352335511,93,supervisor,role,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1558352335511,93,t1,shift,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1558352335511,93,0,dayofweek,INTERACTION
OJwzAJ33l,long_coffee,1.0,1558353441159,94,doctoral student,role,INTERACTION
OJwzAJ33l,long_coffee,1.0,1558353441159,94,t1,shift,INTERACTION
OJwzAJ33l,long_coffee,1.0,1558353441159,94,0,dayofweek,INTERACTION
IQtg13hB,expresso,1.0,1558353481419,95,doctoral student,role,INTERACTION
IQtg13hB,expresso,1.0,1558353481419,95,t1,shift,INTERACTION
IQtg13hB,expresso,1.0,1558353481419,95,0,dayofweek,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1558355034900,96,associated teacher,role,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1558355034900,96,t2,shift,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1558355034900,96,0,dayofweek,INTERACTION
FmxgvxmU,light_coffee,1.0,1558357686442,97,doctoral student,role,INTERACTION
FmxgvxmU,light_coffee,1.0,1558357686442,97,t2,shift,INTERACTION
FmxgvxmU,light_coffee,1.0,1558357686442,97,0,dayofweek,INTERACTION
CCMAqXtVdM,cortado,1.0,1558358293190,98,supervisor,role,INTERACTION
CCMAqXtVdM,cortado,1.0,1558358293190,98,t2,shift,INTERACTION
CCMAqXtVdM,cortado,1.0,1558358293190,98,0,dayofweek,INTERACTION
FmxgvxmU,expresso,1.0,1558358908940,99,doctoral student,role,INTERACTION
FmxgvxmU,expresso,1.0,1558358908940,99,t2,shift,INTERACTION
FmxgvxmU,expresso,1.0,1558358908940,99,0,dayofweek,INTERACTION
uhDooz5uD,milk_coffee,1.0,1558359573917,100,doctoral student,role,INTERACTION
uhDooz5uD,milk_coffee,1.0,1558359573917,100,t2,shift,INTERACTION
uhDooz5uD,milk_coffee,1.0,1558359573917,100,0,dayofweek,INTERACTION
uhDooz5uD,milk_coffee,1.0,1558359689434,101,doctoral student,role,INTERACTION
uhDooz5uD,milk_coffee,1.0,1558359689434,101,t2,shift,INTERACTION
uhDooz5uD,milk_coffee,1.0,1558359689434,101,0,dayofweek,INTERACTION
ymETMF4M4,long_coffee,1.0,1558361507430,102,doctoral student,role,INTERACTION
ymETMF4M4,long_coffee,1.0,1558361507430,102,t2,shift,INTERACTION
ymETMF4M4,long_coffee,1.0,1558361507430,102,0,dayofweek,INTERACTION
