user,service_name,parameter,subservice_name,value,startdate,id,contextvalue,context_name
pruiz,machine_selection,ideko.es/,110000556 DEC,1.0,1696499620,1044,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696515594,1045,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696515594,1045,t2,shift
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1696572638,1046,GeneralResearcher,role
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1696572638,1046,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696574567,1047,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696574567,1047,t1,shift
iricondo,machine_selection,danobatgroup.com/,ESTARTA315FV-100626 (E-315,1.0,1696575691,1048,GeneralResearcher,role
iricondo,machine_selection,danobatgroup.com/,ESTARTA315FV-100626 (E-315,1.0,1696575691,1048,t1,shift
ubueno,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1696581600,1049,GeneralResearcher,role
ubueno,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1696581600,1049,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696584197,1050,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696584197,1050,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696588683,1051,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696588683,1051,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696601954,1052,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696601954,1052,t2,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696833946,1053,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696833946,1053,t1,shift
dbarrenetxea,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1696835328,1054,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1696835328,1054,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696853613,1055,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696853613,1055,t1,shift
afgomez,machine_selection,ideko.es/,110000556 DEC,1.0,1696924160,1056,GeneralResearcher,role
afgomez,machine_selection,ideko.es/,110000556 DEC,1.0,1696924160,1056,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696927289,1057,GrindingResearcher,role
