user,service,value,s,task
dbarrenetxea,TDOMONWH2X1,0.5,1697792878,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1697811041,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1697822875,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1698220506,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1698751430,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1699883345,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1699887765,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1699907890,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1699945049,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1699955808,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1695326615,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1695712669,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1695715725,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1695719808,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1695730449,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1695974644,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696235962,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696252132,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696269078,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696315412,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696396209,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696399219,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696409190,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696417669,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696432557,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696439221,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696492466,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696495346,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696515594,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696574567,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696584197,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696588683,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696601954,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696833946,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696835328,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696853613,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696927289,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696947802,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1697440392,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1697533040,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1697792878,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1697811041,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1697822875,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1698220506,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1698751430,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1699883345,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1699887765,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1699907890,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1699945049,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1699955808,schema_monitoring
dbarrenetxea,TDOMONWH2X1Z1,0.5,1695715725,schema_monitoring
dbarrenetxea,TDOMONWH2X1Z1,1,1695715725,schema_monitoring
dbarrenetxea,Wheelhead2Power,1,1695326615,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1695712669,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1695715725,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1695730449,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696252132,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696269078,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696315412,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696396209,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696399219,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696409190,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696492466,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696495346,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696515594,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696584197,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696588683,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696601954,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696833946,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696927289,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696947802,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1697440392,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1697533040,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1697811041,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1697822875,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1698220506,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1698751430,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1699887765,signal_monitoring
dbarrenetxea,Wheelhead2Speed_actual,1,1695326615,signal_monitoring
dbarrenetxea,Wheelhead2Speed_actual,1,1696315412,signal_monitoring
dbarrenetxea,Wheelhead2Speed_actual,1,1696396209,signal_monitoring
dbarrenetxea,Wheelhead2Speed_actual,1,1696399219,signal_monitoring
dbarrenetxea,Wheelhead2Speed_actual,1,1697822875,signal_monitoring
dbarrenetxea,X1AxisForce,1,1695326615,signal_monitoring
dbarrenetxea,X1AxisForce,1,1696315412,signal_monitoring
dbarrenetxea,X1AxisForce,1,1697822875,signal_monitoring
dbarrenetxea,X1AxisPosition_actual,1,1697822875,signal_monitoring
dbarrenetxea,Z1AxisForce,1,1695326615,signal_monitoring
dbarrenetxea,Z1AxisForce,1,1696315412,signal_monitoring
dbarrenetxea,Z1AxisForce,1,1696409190,signal_monitoring
dbarrenetxea,Z1AxisForce,1,1696601954,signal_monitoring
dbarrenetxea,Z1AxisSpeed_commanded,1,1696315412,signal_monitoring
dbarrenetxea,Z1AxisSpeed_commanded,1,1696396209,signal_monitoring
dbarrenetxea,Z1AxisSpeed_commanded,1,1696399219,signal_monitoring
eamilibia,110000556 DEC,1,1696321606,machine_selection
eamilibia,110000556 DEC,1,1696405293,machine_selection
eamilibia,110000556 DEC,1,1696485567,machine_selection
eamilibia,110000556 DEC,1,1696485819,machine_selection
eamilibia,110000556 DEC,1,1696572638,machine_selection
eamilibia,110000556 DEC,1,1697465112,machine_selection
eamilibia,110000556 DEC,1,1697531179,machine_selection
eamilibia,110000556 DEC,1,1697636194,machine_selection
eamilibia,110000556 DEC,1,1697702199,machine_selection
eamilibia,110000556 DEC,1,1697714789,machine_selection
eamilibia,110000556 DEC,1,1697786582,machine_selection
eamilibia,110000556 DEC,1,1698215495,machine_selection
eamilibia,common-fft,1,1697531179,transformation_execution
eamilibia,common-fft,1,1697636194,transformation_execution
eamilibia,grinding-force-stats,1,1697531179,indicators-selection
eamilibia,grinding-power-stats,1,1696572638,indicators-selection
eamilibia,grinding-power-stats,1,1697465112,indicators-selection
eamilibia,grinding-power-stats,1,1697531179,indicators-selection
eamilibia,grinding-power-stats,1,1697636194,indicators-selection
eamilibia,grinding-power-stats,1,1697702199,indicators-selection
eamilibia,grinding-power-stats,1,1697714789,indicators-selection
eamilibia,TDOMONWH2X1,0.5,1696321606,schema_monitoring
eamilibia,TDOMONWH2X1,0.5,1696405293,schema_monitoring
eamilibia,TDOMONWH2X1,0.5,1696485567,schema_monitoring
eamilibia,TDOMONWH2X1,0.5,1696485819,schema_monitoring
eamilibia,TDOMONWH2X1,0.5,1696572638,schema_monitoring
eamilibia,TDOMONWH2X1,0.5,1697465112,schema_monitoring
eamilibia,TDOMONWH2X1,0.5,1697531179,schema_monitoring
eamilibia,TDOMONWH2X1,0.5,1697636194,schema_monitoring
eamilibia,TDOMONWH2X1,0.5,1697702199,schema_monitoring
eamilibia,TDOMONWH2X1,0.5,1697714789,schema_monitoring
eamilibia,TDOMONWH2X1,0.5,1697786582,schema_monitoring
eamilibia,TDOMONWH2X1,0.5,1698215495,schema_monitoring
eamilibia,TDOMONWH2X1,1,1696321606,schema_monitoring
eamilibia,TDOMONWH2X1,1,1696405293,schema_monitoring
eamilibia,TDOMONWH2X1,1,1696485567,schema_monitoring
eamilibia,TDOMONWH2X1,1,1696485819,schema_monitoring
eamilibia,TDOMONWH2X1,1,1696572638,schema_monitoring
eamilibia,TDOMONWH2X1,1,1697465112,schema_monitoring
eamilibia,TDOMONWH2X1,1,1697531179,schema_monitoring
eamilibia,TDOMONWH2X1,1,1697636194,schema_monitoring
eamilibia,TDOMONWH2X1,1,1697702199,schema_monitoring
eamilibia,TDOMONWH2X1,1,1697714789,schema_monitoring
eamilibia,TDOMONWH2X1,1,1697786582,schema_monitoring
eamilibia,TDOMONWH2X1,1,1698215495,schema_monitoring
eamilibia,Wheelhead2Power,1,1696321606,signal_monitoring
eamilibia,Wheelhead2Power,1,1696405293,signal_monitoring
eamilibia,Wheelhead2Power,1,1696572638,signal_monitoring
eamilibia,Wheelhead2Power,1,1697465112,signal_monitoring
eamilibia,Wheelhead2Power,1,1697531179,signal_monitoring
eamilibia,Wheelhead2Power,1,1697636194,signal_monitoring
eamilibia,Wheelhead2Power,1,1697714789,signal_monitoring
eamilibia,Wheelhead2Power,1,1698215495,signal_monitoring
eurkia,LG400A-100648 (RECC06) TX,1,1694601316,machine_selection
eurkia,TDOMONWH2X1,0.5,1694601316,schema_monitoring
eurkia,TDOMONWH2X1,1,1694601316,schema_monitoring
eurkia,Wheelhead1Power,1,1694601316,signal_monitoring
ggutierrezeizaguirre,110000556 DEC,1,1695713191,machine_selection
ggutierrezeizaguirre,110000556 DEC,1,1695985929,machine_selection
ggutierrezeizaguirre,110000556 DEC,1,1696254549,machine_selection
ggutierrezeizaguirre,110000556 DEC,1,1696315578,machine_selection
ggutierrezeizaguirre,110000556 DEC,1,1696325453,machine_selection
ggutierrezeizaguirre,110000556 DEC,1,1696325466,machine_selection
ggutierrezeizaguirre,110000556 DEC,1,1696328464,machine_selection
ggutierrezeizaguirre,110000556 DEC,1,1696332351,machine_selection
ggutierrezeizaguirre,grinding-center,1,1695985929,transformation_execution
ggutierrezeizaguirre,grinding-center,1,1696315578,transformation_execution
ggutierrezeizaguirre,grinding-contact-point,1,1696325453,indicators-selection
ggutierrezeizaguirre,grinding-force-stats,1,1696325453,indicators-selection
ggutierrezeizaguirre,grinding-material-fed,1,1696325453,indicators-selection
ggutierrezeizaguirre,grinding-power-stats,1,1695628873,indicators-selection
ggutierrezeizaguirre,grinding-power-stats,1,1695633767,indicators-selection
ggutierrezeizaguirre,grinding-power-stats,1,1695635276,indicators-selection
ggutierrezeizaguirre,grinding-power-stats,1,1695985772,indicators-selection
ggutierrezeizaguirre,grinding-power-stats,1,1695985929,indicators-selection
ggutierrezeizaguirre,grinding-power-stats,1,1696315578,indicators-selection
ggutierrezeizaguirre,grinding-power-stats,1,1696325453,indicators-selection
ggutierrezeizaguirre,grinding-power-stats,1,1696325466,indicators-selection
ggutierrezeizaguirre,grinding-power-stats,1,1696328464,indicators-selection
ggutierrezeizaguirre,grinding-power-stats,1,1696332351,indicators-selection
ggutierrezeizaguirre,grinding-specific-energy,1,1695985929,indicators-selection
ggutierrezeizaguirre,grinding-specific-energy,1,1696315578,indicators-selection
ggutierrezeizaguirre,grinding-specific-energy,1,1696325453,indicators-selection
ggutierrezeizaguirre,LG600B6-100636-IDK,1,1695628873,machine_selection
ggutierrezeizaguirre,LG600B6-100636-IDK,1,1695633767,machine_selection
ggutierrezeizaguirre,LG600B6-100636-IDK,1,1695635276,machine_selection
ggutierrezeizaguirre,LG600B6-100636-IDK,1,1695712935,machine_selection
ggutierrezeizaguirre,LG600B6-100636-IDK,1,1695985772,machine_selection
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1695628873,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1695633767,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1695635276,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1695712935,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1695713191,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1695985772,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1695985929,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1696254549,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1696315578,schema_monitoring
