user,service,value,s
dbarrenetxea,Wheelhead2Speed_actual,1,1696396209
dbarrenetxea,Wheelhead2Speed_actual,1,1696399219
dbarrenetxea,Wheelhead2Speed_actual,1,1697822875
dbarrenetxea,X1AxisForce,1,1695326615
dbarrenetxea,X1AxisForce,1,1696315412
dbarrenetxea,X1AxisForce,1,1697822875
dbarrenetxea,X1AxisPosition_actual,1,1697822875
dbarrenetxea,Z1AxisForce,1,1695326615
dbarrenetxea,Z1AxisForce,1,1696315412
dbarrenetxea,Z1AxisForce,1,1696409190
dbarrenetxea,Z1AxisForce,1,1696601954
dbarrenetxea,Z1AxisSpeed_commanded,1,1696315412
dbarrenetxea,Z1AxisSpeed_commanded,1,1696396209
dbarrenetxea,Z1AxisSpeed_commanded,1,1696399219
eamilibia,110000556 DEC,1,1696321606
eamilibia,110000556 DEC,1,1696405293
eamilibia,110000556 DEC,1,1696485567
eamilibia,110000556 DEC,1,1696485819
eamilibia,110000556 DEC,1,1696572638
eamilibia,110000556 DEC,1,1697465112
eamilibia,110000556 DEC,1,1697531179
eamilibia,110000556 DEC,1,1697636194
eamilibia,110000556 DEC,1,1697702199
eamilibia,110000556 DEC,1,1697714789
eamilibia,110000556 DEC,1,1697786582
eamilibia,110000556 DEC,1,1698215495
eamilibia,common-fft,1,1697531179
eamilibia,common-fft,1,1697636194
eamilibia,grinding-force-stats,1,1697531179
eamilibia,grinding-power-stats,1,1696572638
eamilibia,grinding-power-stats,1,1697465112
eamilibia,grinding-power-stats,1,1697531179
eamilibia,grinding-power-stats,1,1697636194
eamilibia,grinding-power-stats,1,1697702199
eamilibia,grinding-power-stats,1,1697714789
eamilibia,TDOMONWH2X1,0.5,1696321606
eamilibia,TDOMONWH2X1,0.5,1696405293
eamilibia,TDOMONWH2X1,0.5,1696485567
eamilibia,TDOMONWH2X1,0.5,1696485819
eamilibia,TDOMONWH2X1,0.5,1696572638
eamilibia,TDOMONWH2X1,0.5,1697465112
eamilibia,TDOMONWH2X1,0.5,1697531179
eamilibia,TDOMONWH2X1,0.5,1697636194
eamilibia,TDOMONWH2X1,0.5,1697702199
eamilibia,TDOMONWH2X1,0.5,1697714789
eamilibia,TDOMONWH2X1,0.5,1697786582
eamilibia,TDOMONWH2X1,0.5,1698215495
eamilibia,TDOMONWH2X1,1,1696321606
eamilibia,TDOMONWH2X1,1,1696405293
eamilibia,TDOMONWH2X1,1,1696485567
eamilibia,TDOMONWH2X1,1,1696485819
eamilibia,TDOMONWH2X1,1,1696572638
eamilibia,TDOMONWH2X1,1,1697465112
eamilibia,TDOMONWH2X1,1,1697531179
eamilibia,TDOMONWH2X1,1,1697636194
eamilibia,TDOMONWH2X1,1,1697702199
eamilibia,TDOMONWH2X1,1,1697714789
eamilibia,TDOMONWH2X1,1,1697786582
eamilibia,TDOMONWH2X1,1,1698215495
eamilibia,Wheelhead2Power,1,1696321606
eamilibia,Wheelhead2Power,1,1696405293
eamilibia,Wheelhead2Power,1,1696572638
eamilibia,Wheelhead2Power,1,1697465112
eamilibia,Wheelhead2Power,1,1697531179
eamilibia,Wheelhead2Power,1,1697636194
eamilibia,Wheelhead2Power,1,1697714789
eamilibia,Wheelhead2Power,1,1698215495
eurkia,LG400A-100648 (RECC06) TX,1,1694601316
eurkia,TDOMONWH2X1,0.5,1694601316
eurkia,TDOMONWH2X1,1,1694601316
eurkia,Wheelhead1Power,1,1694601316
ggutierrezeizaguirre,110000556 DEC,1,1695713191
ggutierrezeizaguirre,110000556 DEC,1,1695985929
ggutierrezeizaguirre,110000556 DEC,1,1696254549
ggutierrezeizaguirre,110000556 DEC,1,1696315578
ggutierrezeizaguirre,110000556 DEC,1,1696325453
ggutierrezeizaguirre,110000556 DEC,1,1696325466
ggutierrezeizaguirre,110000556 DEC,1,1696328464
ggutierrezeizaguirre,110000556 DEC,1,1696332351
ggutierrezeizaguirre,grinding-center,1,1695985929
ggutierrezeizaguirre,grinding-center,1,1696315578
ggutierrezeizaguirre,grinding-contact-point,1,1696325453
ggutierrezeizaguirre,grinding-force-stats,1,1696325453
ggutierrezeizaguirre,grinding-material-fed,1,1696325453
ggutierrezeizaguirre,grinding-power-stats,1,1695628873
ggutierrezeizaguirre,grinding-power-stats,1,1695633767
ggutierrezeizaguirre,grinding-power-stats,1,1695635276
ggutierrezeizaguirre,grinding-power-stats,1,1695985772
ggutierrezeizaguirre,grinding-power-stats,1,1695985929
ggutierrezeizaguirre,grinding-power-stats,1,1696315578
ggutierrezeizaguirre,grinding-power-stats,1,1696325453
ggutierrezeizaguirre,grinding-power-stats,1,1696325466
ggutierrezeizaguirre,grinding-power-stats,1,1696328464
ggutierrezeizaguirre,grinding-power-stats,1,1696332351
ggutierrezeizaguirre,grinding-specific-energy,1,1695985929
ggutierrezeizaguirre,grinding-specific-energy,1,1696315578
ggutierrezeizaguirre,grinding-specific-energy,1,1696325453
ggutierrezeizaguirre,LG600B6-100636-IDK,1,1695628873
ggutierrezeizaguirre,LG600B6-100636-IDK,1,1695633767
ggutierrezeizaguirre,LG600B6-100636-IDK,1,1695635276
ggutierrezeizaguirre,LG600B6-100636-IDK,1,1695712935
ggutierrezeizaguirre,LG600B6-100636-IDK,1,1695985772
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1695628873
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1695633767
